element,method,configuration,term,state index,spin multiplicity,spatial multiplicity,ΔE (eV),spin type,basis,energy (Hartree),active space,Z
H,experiment,1s,1²S,1,2.0,1,0.0,INVARIANT,aug-cc-pvdz,,"(1, 5)",1
H,experiment,2s,2²S,2,2.0,1,10.2,INVARIANT,aug-cc-pvdz,,"(1, 5)",1
H,experiment,2p,1²P,1,2.0,3,10.2,INVARIANT,aug-cc-pvdz,,"(1, 5)",1
H,FCI,1s,1²S,1,2.0,1,0.0,INVARIANT,aug-cc-pvdz,-0.49933431543958573,"(1, 5)",1
H,FCI,2s,2²S,2,2.0,1,10.271403529379242,INVARIANT,aug-cc-pvdz,-0.12186719480743935,"(1, 5)",1
H,FCI,2p,1²P,1,2.0,3,12.285115918399924,INVARIANT,aug-cc-pvdz,-0.047864628839626056,"(1, 5)",1
H, LDA,1s,1²S,1,2.0,1,0.0,UNPOLARIZED,aug-cc-pvdz,-0.4150599994991377,"(1, 5)",1
H, LDA,2s,2²S,2,2.0,1,8.011145208908404,UNPOLARIZED,aug-cc-pvdz,-0.12065584077600902,"(1, 5)",1
H, LDA,2p,1²P,1,2.0,3,10.237604286003302,UNPOLARIZED,aug-cc-pvdz,-0.03883497816142258,"(1, 5)",1
H, LDA,1s,1²S,1,2.0,1,0.0,POLARIZED,aug-cc-pvdz,-0.48276190731726354,"(1, 5)",1
H, LDA,2s,2²S,2,2.0,1,9.228053811222983,POLARIZED,aug-cc-pvdz,-0.14363718193795028,"(1, 5)",1
H, LDA,2p,1²P,1,2.0,3,10.816361382749193,POLARIZED,aug-cc-pvdz,-0.0852679547931505,"(1, 5)",1
H, LDA,1s,1²S,1,2.0,1,0.0,INVARIANT,aug-cc-pvdz,-0.5715946076765106,"(1, 5)",1
H, LDA,2s,2²S,2,2.0,1,10.82819452718449,INVARIANT,aug-cc-pvdz,-0.1736657951115823,"(1, 5)",1
H, LDA,2p,1²P,1,2.0,3,11.638330528314786,INVARIANT,aug-cc-pvdz,-0.14389384595269508,"(1, 5)",1
H, LDA,1s,1²S,1,2.0,1,0.0,INVARIANT_MIX,aug-cc-pvdz,-0.4917338693774204,"(1, 5)",1
H, LDA,2s,2²S,2,2.0,1,9.389580663460732,INVARIANT_MIX,aug-cc-pvdz,-0.14667314161590475,"(1, 5)",1
H, LDA,2p,1²P,1,2.0,3,10.896160230656648,INVARIANT_MIX,aug-cc-pvdz,-0.09130736325795565,"(1, 5)",1
He,experiment,1s²,1¹S,1,1.0,1,0.0,INVARIANT,aug-cc-pvdz,,"(2, 2)",2
He,experiment,1s2s,1³S,1,3.0,1,19.819614525,INVARIANT,aug-cc-pvdz,,"(2, 2)",2
He,experiment,1s2s,2¹S,2,1.0,1,20.615774823,INVARIANT,aug-cc-pvdz,,"(2, 2)",2
He,FCI,1s²,1¹S,1,1.0,1,0.0,INVARIANT,aug-cc-pvdz,-2.889548485365355,"(2, 2)",2
He,FCI,1s2s,1³S,1,3.0,1,20.092904158631853,INVARIANT,aug-cc-pvdz,-2.1511478708628875,"(2, 2)",2
He,FCI,1s2s,2¹S,2,1.0,1,21.60430704559408,INVARIANT,aug-cc-pvdz,-2.095604838771418,"(2, 2)",2
He, LDA,1s²,1¹S,1,1.0,1,0.0,UNPOLARIZED,aug-cc-pvdz,-2.7813969630908204,"(2, 2)",2
He, LDA,1s2s,1³S,1,3.0,1,21.360586427738234,UNPOLARIZED,aug-cc-pvdz,-1.996409884077701,"(2, 2)",2
He, LDA,1s2s,2¹S,2,1.0,1,22.261539556698672,UNPOLARIZED,aug-cc-pvdz,-1.9633004670013987,"(2, 2)",2
He, LDA,,3¹S,3,1.0,1,55.79899909385272,UNPOLARIZED,aug-cc-pvdz,-0.7308215512819102,"(2, 2)",2
He, LDA,1s²,1¹S,1,1.0,1,0.0,POLARIZED,aug-cc-pvdz,-2.7950470975856954,"(2, 2)",2
He, LDA,1s2s,1³S,1,3.0,1,18.08816326202858,POLARIZED,aug-cc-pvdz,-2.1303193527830593,"(2, 2)",2
He, LDA,1s2s,2¹S,2,1.0,1,20.068502131608206,POLARIZED,aug-cc-pvdz,-2.0575432410435064,"(2, 2)",2
He, LDA,,3¹S,3,1.0,1,55.76903015157173,POLARIZED,aug-cc-pvdz,-0.7455730241010797,"(2, 2)",2
He, LDA,1s²,1¹S,1,1.0,1,0.0,INVARIANT,aug-cc-pvdz,-2.824627023156451,"(2, 2)",2
He, LDA,1s2s,1³S,1,3.0,1,14.188830533958017,INVARIANT,aug-cc-pvdz,-2.3031971142378307,"(2, 2)",2
He, LDA,1s2s,2¹S,2,1.0,1,17.97242678839278,INVARIANT,aug-cc-pvdz,-2.1641525153462537,"(2, 2)",2
He, LDA,,3¹S,3,1.0,1,56.07686153326733,INVARIANT,aug-cc-pvdz,-0.7638403549561763,"(2, 2)",2
He, LDA,1s²,1¹S,1,1.0,1,0.0,INVARIANT_MIX,aug-cc-pvdz,-2.7973380222656337,"(2, 2)",2
He, LDA,1s2s,1³S,1,3.0,1,17.671144513326336,INVARIANT_MIX,aug-cc-pvdz,-2.147935433939619,"(2, 2)",2
He, LDA,1s2s,2¹S,2,1.0,1,19.811245044114102,INVARIANT_MIX,aug-cc-pvdz,-2.069288189392251,"(2, 2)",2
He, LDA,,3¹S,3,1.0,1,55.77969299644173,INVARIANT_MIX,aug-cc-pvdz,-0.7474720964563266,"(2, 2)",2
Li,experiment,1s²2s,1²S,1,2.0,1,0.0,INVARIANT,cc-pvdz,,"(1, 4)",3
Li,experiment,1s²2p,1²P,1,2.0,3,1.85,INVARIANT,cc-pvdz,,"(1, 4)",3
Li,FCI,1s²2s,1²S,1,2.0,1,0.0,INVARIANT,cc-pvdz,-7.432637514964852,"(1, 4)",3
Li,FCI,1s²2p,1²P,1,2.0,3,1.8444752125840318,INVARIANT,cc-pvdz,-7.364854300569658,"(1, 4)",3
Li, LDA,1s²2s,1²S,1,2.0,1,0.0,UNPOLARIZED,cc-pvdz,-7.308507049440855,"(1, 4)",3
Li, LDA,1s²2p,1²P,1,2.0,3,1.14305141877256,UNPOLARIZED,cc-pvdz,-7.266500684240183,"(1, 4)",3
Li, LDA,1s²2s,1²S,1,2.0,1,0.0,POLARIZED,cc-pvdz,-7.33568657879808,"(1, 4)",3
Li, LDA,1s²2p,1²P,1,2.0,3,1.1736768643887512,POLARIZED,cc-pvdz,-7.292554749220339,"(1, 4)",3
Li, LDA,1s²2s,1²S,1,2.0,1,0.0,INVARIANT,cc-pvdz,-7.373668845962845,"(1, 4)",3
Li, LDA,1s²2p,1²P,1,2.0,3,1.215451990144907,INVARIANT,cc-pvdz,-7.329001808817013,"(1, 4)",3
