,basis,bond length (Angstrom),method,state index,spin multiplicity,energy (Hartree),spin type
0,cc-pvdz,0.2,FCI,1,1,0.10710273165856643,
1,cc-pvdz,0.2,FCI,2,1,0.8600682962160855,
2,cc-pvdz,0.2,FCI,3,1,0.9512213232028497,
3,cc-pvdz,0.2,FCI,1,3,0.8225627486151195,
0,cc-pvdz,0.2, LDA,1,1,0.1799671962653418,UNPOLARIZED
1,cc-pvdz,0.2, LDA,1,3,0.9358959521815983,UNPOLARIZED
2,cc-pvdz,0.2, LDA,2,1,0.9560576557095213,UNPOLARIZED
3,cc-pvdz,0.2, LDA,3,1,1.9762586955532633,UNPOLARIZED
0,cc-pvdz,0.2, LDA,1,1,0.16817566656573482,POLARIZED
1,cc-pvdz,0.2, LDA,1,3,0.8137178905747733,POLARIZED
2,cc-pvdz,0.2, LDA,2,1,0.8676355866988397,POLARIZED
3,cc-pvdz,0.2, LDA,3,1,1.9562075449356184,POLARIZED
0,cc-pvdz,0.2, LDA,1,1,0.15169329479364918,INVARIANT
1,cc-pvdz,0.2, LDA,1,3,0.6575891841753014,INVARIANT
2,cc-pvdz,0.2, LDA,2,1,0.7578679520274674,INVARIANT
3,cc-pvdz,0.2, LDA,3,1,1.9305062375278264,INVARIANT
0,cc-pvdz,0.2, LDA,1,1,0.16657281900304793,INVARIANT_MIX
1,cc-pvdz,0.2, LDA,1,3,0.7977271961562448,INVARIANT_MIX
2,cc-pvdz,0.2, LDA,2,3,0.797727196156245,INVARIANT_MIX
3,cc-pvdz,0.2, LDA,3,3,0.7977271961563391,INVARIANT_MIX
4,cc-pvdz,0.2, LDA,2,1,0.8562134880266169,INVARIANT_MIX
5,cc-pvdz,0.2, LDA,3,1,1.9535799813150765,INVARIANT_MIX
0,cc-pvdz,0.2539325842696629,FCI,1,1,-0.38233067669905596,
1,cc-pvdz,0.2539325842696629,FCI,2,1,0.34253521465948467,
2,cc-pvdz,0.2539325842696629,FCI,3,1,0.4506389492146652,
3,cc-pvdz,0.2539325842696629,FCI,1,3,0.30103262765048355,
0,cc-pvdz,0.2539325842696629, LDA,1,1,-0.30853734339072025,UNPOLARIZED
1,cc-pvdz,0.2539325842696629, LDA,1,3,0.41322555504646197,UNPOLARIZED
2,cc-pvdz,0.2539325842696629, LDA,2,1,0.43667554120770674,UNPOLARIZED
3,cc-pvdz,0.2539325842696629, LDA,3,1,1.4075438440540442,UNPOLARIZED
0,cc-pvdz,0.2539325842696629, LDA,1,1,-0.3211238246125004,POLARIZED
1,cc-pvdz,0.2539325842696629, LDA,1,3,0.29197229602005265,POLARIZED
2,cc-pvdz,0.2539325842696629, LDA,2,1,0.35145891254938183,POLARIZED
3,cc-pvdz,0.2539325842696629, LDA,3,1,1.386276696701978,POLARIZED
0,cc-pvdz,0.2539325842696629, LDA,1,1,-0.3388010642680945,INVARIANT
1,cc-pvdz,0.2539325842696629, LDA,1,3,0.13679291625907117,INVARIANT
2,cc-pvdz,0.2539325842696629, LDA,2,1,0.24590302435968017,INVARIANT
3,cc-pvdz,0.2539325842696629, LDA,3,1,1.3590767450118955,INVARIANT
0,cc-pvdz,0.2539325842696629, LDA,1,1,-0.32283820818613534,INVARIANT_MIX
1,cc-pvdz,0.2539325842696629, LDA,1,3,0.27609104922495226,INVARIANT_MIX
2,cc-pvdz,0.2539325842696629, LDA,2,3,0.27609104922495253,INVARIANT_MIX
3,cc-pvdz,0.2539325842696629, LDA,3,3,0.27609104922503663,INVARIANT_MIX
4,cc-pvdz,0.2539325842696629, LDA,2,1,0.34046082079719214,INVARIANT_MIX
5,cc-pvdz,0.2539325842696629, LDA,3,1,1.3834923486532646,INVARIANT_MIX
0,cc-pvdz,0.3078651685393259,FCI,1,1,-0.6729582888955326,
1,cc-pvdz,0.3078651685393259,FCI,2,1,0.023600409717916326,
2,cc-pvdz,0.3078651685393259,FCI,3,1,0.1497473690790192,
3,cc-pvdz,0.3078651685393259,FCI,1,3,-0.022855676901659017,
0,cc-pvdz,0.3078651685393259, LDA,1,1,-0.5982558589638581,UNPOLARIZED
1,cc-pvdz,0.3078651685393259, LDA,1,3,0.08812289242201238,UNPOLARIZED
2,cc-pvdz,0.3078651685393259, LDA,2,1,0.11554908056094114,UNPOLARIZED
3,cc-pvdz,0.3078651685393259, LDA,3,1,1.0341580963549224,UNPOLARIZED
0,cc-pvdz,0.3078651685393259, LDA,1,1,-0.6119076448473852,POLARIZED
1,cc-pvdz,0.3078651685393259, LDA,1,3,-0.032175282710668746,POLARIZED
2,cc-pvdz,0.3078651685393259, LDA,2,1,0.03406974125304546,POLARIZED
3,cc-pvdz,0.3078651685393259, LDA,3,1,1.0114627298258994,POLARIZED
0,cc-pvdz,0.3078651685393259, LDA,1,1,-0.6311962926944463,INVARIANT
1,cc-pvdz,0.3078651685393259, LDA,1,3,-0.18640292164412955,INVARIANT
2,cc-pvdz,0.3078651685393259, LDA,2,1,-0.06653138570179716,INVARIANT
3,cc-pvdz,0.3078651685393259, LDA,3,1,0.9825207182861867,INVARIANT
0,cc-pvdz,0.3078651685393259, LDA,1,1,-0.6137722394932912,INVARIANT_MIX
1,cc-pvdz,0.3078651685393259, LDA,1,3,-0.04794482655120192,INVARIANT_MIX
2,cc-pvdz,0.3078651685393259, LDA,2,3,-0.04794482655118554,INVARIANT_MIX
3,cc-pvdz,0.3078651685393259, LDA,3,3,-0.04794482655118554,INVARIANT_MIX
4,cc-pvdz,0.3078651685393259, LDA,2,1,0.023568375902081516,INVARIANT_MIX
5,cc-pvdz,0.3078651685393259, LDA,3,1,1.0084949441356312,INVARIANT_MIX
0,cc-pvdz,0.3617977528089888,FCI,1,1,-0.85499886388376,
1,cc-pvdz,0.3617977528089888,FCI,2,1,-0.18616020557206747,
2,cc-pvdz,0.3617977528089888,FCI,3,1,-0.04130579918800792,
3,cc-pvdz,0.3617977528089888,FCI,1,3,-0.23855715167128566,
0,cc-pvdz,0.3617977528089888, LDA,1,1,-0.7794200901721101,UNPOLARIZED
1,cc-pvdz,0.3617977528089888, LDA,1,3,-0.12877442579635404,UNPOLARIZED
2,cc-pvdz,0.3617977528089888, LDA,2,1,-0.09669073754497047,UNPOLARIZED
3,cc-pvdz,0.3617977528089888, LDA,3,1,0.7681736778858994,UNPOLARIZED
0,cc-pvdz,0.3617977528089888, LDA,1,1,-0.7944108915131344,POLARIZED
1,cc-pvdz,0.3617977528089888, LDA,1,3,-0.2481331971586264,POLARIZED
2,cc-pvdz,0.3617977528089888, LDA,2,1,-0.17398686760301918,POLARIZED
3,cc-pvdz,0.3617977528089888, LDA,3,1,0.74389128497419,POLARIZED
