basis,torsion angle (deg),method,state index,spin multiplicity,spin type,energy (Hartree)
cc-pvdz,0.01,LDA,1,1,INVARIANT,-77.75059181173143
cc-pvdz,0.01,LDA,2,1,INVARIANT,-77.47167690552547
cc-pvdz,0.01,LDA,3,1,INVARIANT,-77.22045691477454
cc-pvdz,2.0,LDA,1,1,INVARIANT,-77.74980333427997
cc-pvdz,2.0,LDA,2,1,INVARIANT,-77.47386792042464
cc-pvdz,2.0,LDA,3,1,INVARIANT,-77.22776412541059
cc-pvdz,4.0,LDA,1,1,INVARIANT,-77.74896580698488
cc-pvdz,4.0,LDA,2,1,INVARIANT,-77.47619664023495
cc-pvdz,4.0,LDA,3,1,INVARIANT,-77.23532060381649
cc-pvdz,6.0,LDA,1,1,INVARIANT,-77.74807189323762
cc-pvdz,6.0,LDA,2,1,INVARIANT,-77.47864445613222
cc-pvdz,6.0,LDA,3,1,INVARIANT,-77.24309719605752
cc-pvdz,8.0,LDA,1,1,INVARIANT,-77.74711570752622
cc-pvdz,8.0,LDA,2,1,INVARIANT,-77.48120721830988
cc-pvdz,8.0,LDA,3,1,INVARIANT,-77.25108148150443
cc-pvdz,10.0,LDA,1,1,INVARIANT,-77.74609231201222
cc-pvdz,10.0,LDA,2,1,INVARIANT,-77.48388040568481
cc-pvdz,10.0,LDA,3,1,INVARIANT,-77.25925116388504
cc-pvdz,12.0,LDA,1,1,INVARIANT,-77.74499618380197
cc-pvdz,12.0,LDA,2,1,INVARIANT,-77.48665762091296
cc-pvdz,12.0,LDA,3,1,INVARIANT,-77.26757939034385
cc-pvdz,14.0,LDA,1,1,INVARIANT,-77.74382037702743
cc-pvdz,14.0,LDA,2,1,INVARIANT,-77.48952932945451
cc-pvdz,14.0,LDA,3,1,INVARIANT,-77.27603961320808
cc-pvdz,16.0,LDA,1,1,INVARIANT,-77.74255666314784
cc-pvdz,16.0,LDA,2,1,INVARIANT,-77.49248315391377
cc-pvdz,16.0,LDA,3,1,INVARIANT,-77.28460778803718
cc-pvdz,18.0,LDA,1,1,INVARIANT,-77.74119629423545
cc-pvdz,18.0,LDA,2,1,INVARIANT,-77.49550444135603
cc-pvdz,18.0,LDA,3,1,INVARIANT,-77.2932631686639
cc-pvdz,20.0,LDA,1,1,INVARIANT,-77.73973060275898
cc-pvdz,20.0,LDA,2,1,INVARIANT,-77.49857728807542
cc-pvdz,20.0,LDA,3,1,INVARIANT,-77.30198815821672
cc-pvdz,22.0,LDA,1,1,INVARIANT,-77.73815142114415
cc-pvdz,22.0,LDA,2,1,INVARIANT,-77.50168545025288
