state index,energy (Hartree),torsion angle (deg),method,basis,spin multiplicity,spin type
1,-78.322033341,0.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0086837317,0.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8177851668,0.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3220514173,2.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0091936247,2.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8187678285,2.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3220656651,4.0,XMS-CASPT2,cc-pvdz,1,
2,-78.010624232,4.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8214997502,4.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3219974402,6.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0127590456,6.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8255299216,6.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3217850459,8.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0153862536,8.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8304540385,8.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3213959884,10.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0183464264,10.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8360015994,10.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3208174876,12.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0215293104,12.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8420083118,12.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3200468223,14.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0248593697,14.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8483745178,14.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3190857256,16.0,XMS-CASPT2,cc-pvdz,1,
2,-78.028283809,16.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8550367545,16.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3179376408,18.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0317645616,18.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8619514443,18.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3166066044,20.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0352732365,20.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8690860136,20.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3150962484,22.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0387879515,22.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8764141438,22.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3134103199,24.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0422913221,24.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8839131725,24.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3115521893,26.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0457691615,26.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8915627247,26.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3095249907,28.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0492096208,28.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8993439502,28.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3073316768,30.0,XMS-CASPT2,cc-pvdz,1,
2,-78.052602607,30.0,XMS-CASPT2,cc-pvdz,1,
3,-77.907239104,30.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3049750816,32.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0559393801,32.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9152313066,32.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3024579847,34.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0592122679,34.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9233043989,34.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2997831741,36.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0624144597,36.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9314428441,36.0,XMS-CASPT2,cc-pvdz,1,
1,-78.296953508,38.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0655398527,38.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9396316509,38.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2939719781,40.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0685829384,40.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9478563043,40.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2908417748,42.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0715387133,42.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9561026927,42.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2875663578,44.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0744026108,44.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9643570305,44.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2841495359,46.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0771704469,46.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9726057677,46.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2805955581,48.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0798383766,48.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9808354863,48.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2769092223,50.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0824028588,50.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9890327763,50.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2730960068,52.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0848606274,52.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9971840882,52.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2691622329,54.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0872086674,54.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0052755534,54.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2651152689,56.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0894441951,56.0,XMS-CASPT2,cc-pvdz,1,
3,-78.013292762,56.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2609637882,58.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0915646414,58.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0212204875,58.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2567181017,60.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0935676376,60.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0290423368,60.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2523905874,62.0,XMS-CASPT2,cc-pvdz,1,
2,-78.095451003,62.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0367403043,62.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2479962502,64.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0972127352,64.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0442941951,64.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2435534563,66.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0988510006,66.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0516808764,66.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2390848971,68.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1003641268,68.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0588732994,68.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2346188505,70.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1017505963,70.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0658392242,70.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2301908174,72.0,XMS-CASPT2,cc-pvdz,1,
2,-78.10300904,72.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0725395722,72.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2258455976,74.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1041382329,74.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0789263387,74.0,XMS-CASPT2,cc-pvdz,1,
1,-78.221639813,76.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1051370893,76.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0849400601,76.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2176447252,78.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1060046593,78.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0905069873,78.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2139488362,80.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1067401255,80.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0955364782,80.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2106591036,82.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1073428006,82.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0999197751,82.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2078986599,84.0,XMS-CASPT2,cc-pvdz,1,
2,-78.107812125,84.0,XMS-CASPT2,cc-pvdz,1,
3,-78.1035322798,84.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2057981705,86.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1081476652,86.0,XMS-CASPT2,cc-pvdz,1,
3,-78.1062421921,86.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2044787301,88.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1083491126,88.0,XMS-CASPT2,cc-pvdz,1,
3,-78.107927609,88.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2023818886,90.0,XMS-CASPT2,cc-pvdz,1,
