basis,scan coordinate,method,state index,spin multiplicity,spin type,energy (Hartree)
cc-pvdz,-1.0,LDA,1,1,UNPOLARIZED,-153.01375752233298
cc-pvdz,-1.0,LDA,1,3,UNPOLARIZED,-152.9480326562626
cc-pvdz,-1.0,LDA,2,1,UNPOLARIZED,-152.86471292440842
cc-pvdz,-1.0,LDA,2,3,UNPOLARIZED,-152.8538811379321
cc-pvdz,-1.0,LDA,3,1,UNPOLARIZED,-152.84546368430685
cc-pvdz,-1.0,LDA,3,3,UNPOLARIZED,-152.7746550118918
cc-pvdz,-1.0,LDA,4,3,UNPOLARIZED,-152.70474320940318
cc-pvdz,-1.0,LDA,4,1,UNPOLARIZED,-152.70352532503884
cc-pvdz,-1.0,LDA,1,5,UNPOLARIZED,-152.6929574783392
cc-pvdz,-1.0,LDA,5,1,UNPOLARIZED,-152.6487783207941
cc-pvdz,-1.0,LDA,5,3,UNPOLARIZED,-152.6388488880202
cc-pvdz,-1.0,LDA,6,1,UNPOLARIZED,-152.6340899413234
cc-pvdz,-1.0,LDA,6,3,UNPOLARIZED,-152.60705277790962
cc-pvdz,-1.0,LDA,7,1,UNPOLARIZED,-152.60343353875672
cc-pvdz,-1.0,LDA,8,1,UNPOLARIZED,-152.5594622304284
cc-pvdz,-1.0,LDA,9,1,UNPOLARIZED,-152.5441674553269
cc-pvdz,-1.0,LDA,7,3,UNPOLARIZED,-152.52003558790494
cc-pvdz,-1.0,LDA,8,3,UNPOLARIZED,-152.4989808625696
cc-pvdz,-1.0,LDA,9,3,UNPOLARIZED,-152.44219967678052
cc-pvdz,-1.0,LDA,10,1,UNPOLARIZED,-152.43785676792936
cc-pvdz,-1.0,LDA,10,3,UNPOLARIZED,-152.4288935348893
cc-pvdz,-1.0,LDA,11,3,UNPOLARIZED,-152.4066440337785
cc-pvdz,-1.0,LDA,11,1,UNPOLARIZED,-152.37874079555576
cc-pvdz,-1.0,LDA,12,1,UNPOLARIZED,-152.36420415535105
cc-pvdz,-1.0,LDA,12,3,UNPOLARIZED,-152.34039352721146
cc-pvdz,-1.0,LDA,13,3,UNPOLARIZED,-152.30981279129054
cc-pvdz,-1.0,LDA,13,1,UNPOLARIZED,-152.30873716069954
cc-pvdz,-1.0,LDA,14,1,UNPOLARIZED,-152.29866921518257
cc-pvdz,-1.0,LDA,14,3,UNPOLARIZED,-152.21716175072908
cc-pvdz,-1.0,LDA,15,1,UNPOLARIZED,-152.21594287076746
cc-pvdz,-1.0,LDA,15,3,UNPOLARIZED,-152.1077916522551
cc-pvdz,-1.0,LDA,16,1,UNPOLARIZED,-152.09141753345023
cc-pvdz,-1.0,LDA,17,1,UNPOLARIZED,-152.07466437225884
cc-pvdz,-1.0,LDA,18,1,UNPOLARIZED,-152.06505328410478
cc-pvdz,-1.0,LDA,19,1,UNPOLARIZED,-152.04946331282613
cc-pvdz,-1.0,LDA,20,1,UNPOLARIZED,-151.96653900342312
cc-pvdz,-0.9,LDA,1,1,UNPOLARIZED,-153.012629364846
cc-pvdz,-0.9,LDA,1,3,UNPOLARIZED,-152.9533330984415
cc-pvdz,-0.9,LDA,2,1,UNPOLARIZED,-152.87002680167078
cc-pvdz,-0.9,LDA,3,1,UNPOLARIZED,-152.85706918909688
cc-pvdz,-0.9,LDA,2,3,UNPOLARIZED,-152.85617199615328
cc-pvdz,-0.9,LDA,3,3,UNPOLARIZED,-152.78382936576324
cc-pvdz,-0.9,LDA,4,3,UNPOLARIZED,-152.70769049187103
cc-pvdz,-0.9,LDA,4,1,UNPOLARIZED,-152.70644194513497
cc-pvdz,-0.9,LDA,1,5,UNPOLARIZED,-152.69922391299286
cc-pvdz,-0.9,LDA,5,1,UNPOLARIZED,-152.64967867620712
cc-pvdz,-0.9,LDA,5,3,UNPOLARIZED,-152.64746515096178
cc-pvdz,-0.9,LDA,6,1,UNPOLARIZED,-152.64299668620586
cc-pvdz,-0.9,LDA,7,1,UNPOLARIZED,-152.6099816521697
cc-pvdz,-0.9,LDA,6,3,UNPOLARIZED,-152.60721752292363
cc-pvdz,-0.9,LDA,8,1,UNPOLARIZED,-152.55898754706422
cc-pvdz,-0.9,LDA,9,1,UNPOLARIZED,-152.55407963680037
cc-pvdz,-0.9,LDA,7,3,UNPOLARIZED,-152.52513918626332
cc-pvdz,-0.9,LDA,8,3,UNPOLARIZED,-152.5057644493155
