basis,scan coordinate,state index,spin multiplicity,spin type,energy (Hartree),method
cc-pvdz,-1.0,1,1,,-153.1849692256376,KS-LDA
cc-pvdz,-1.0,1,3,,-153.14272172449495,KS-LDA
cc-pvdz,-0.9,1,1,,-153.18377949882108,KS-LDA
cc-pvdz,-0.9,1,3,,-153.14796440705035,KS-LDA
cc-pvdz,-0.8,1,1,,-153.18203587770392,KS-LDA
cc-pvdz,-0.8,1,3,,-153.15266073178998,KS-LDA
cc-pvdz,-0.7,1,1,,-153.17974166040673,KS-LDA
cc-pvdz,-0.7,1,3,,-153.15681574005967,KS-LDA
cc-pvdz,-0.6,1,1,,-153.1768986041369,KS-LDA
cc-pvdz,-0.6,1,3,,-153.16043294300198,KS-LDA
cc-pvdz,-0.5,1,1,,-153.17350691586574,KS-LDA
cc-pvdz,-0.5,1,3,,-153.16351431249615,KS-LDA
cc-pvdz,-0.3999999999999999,1,1,,-153.1695652407784,KS-LDA
cc-pvdz,-0.3999999999999999,1,3,,-153.16606026967804,KS-LDA
cc-pvdz,-0.29999999999999993,1,1,,-153.16507064825436,KS-LDA
cc-pvdz,-0.29999999999999993,1,3,,-153.16806967120266,KS-LDA
cc-pvdz,-0.19999999999999996,1,1,,-153.16001861463616,KS-LDA
cc-pvdz,-0.19999999999999996,1,3,,-153.16953979225838,KS-LDA
cc-pvdz,-0.09999999999999998,1,1,,-153.15440300237407,KS-LDA
cc-pvdz,-0.09999999999999998,1,3,,-153.1704663060009,KS-LDA
cc-pvdz,0.001,1,1,,-153.1482807630131,KS-LDA
cc-pvdz,0.001,1,3,,-153.1708422337284,KS-LDA
cc-pvdz,0.10000000000000009,1,1,,-153.15440300237333,KS-LDA
cc-pvdz,0.10000000000000009,1,3,,-153.17046630599987,KS-LDA
cc-pvdz,0.20000000000000018,1,1,,-153.16001861463678,KS-LDA
cc-pvdz,0.20000000000000018,1,3,,-153.16953979225724,KS-LDA
cc-pvdz,0.30000000000000004,1,1,,-153.1650706482549,KS-LDA
cc-pvdz,0.30000000000000004,1,3,,-153.16806967120232,KS-LDA
cc-pvdz,0.40000000000000013,1,1,,-153.16956524077932,KS-LDA
cc-pvdz,0.40000000000000013,1,3,,-153.16606026967784,KS-LDA
cc-pvdz,0.5,1,1,,-153.17350691586614,KS-LDA
cc-pvdz,0.5,1,3,,-153.16351431249586,KS-LDA
cc-pvdz,0.6000000000000001,1,1,,-153.17689860413645,KS-LDA
cc-pvdz,0.6000000000000001,1,3,,-153.1604329430021,KS-LDA
cc-pvdz,0.7000000000000002,1,1,,-153.17974166040668,KS-LDA
cc-pvdz,0.7000000000000002,1,3,,-153.1568157400586,KS-LDA
cc-pvdz,0.8,1,1,,-153.18203587770364,KS-LDA
cc-pvdz,0.8,1,3,,-153.15266073178958,KS-LDA
cc-pvdz,0.9000000000000001,1,1,,-153.18377949882114,KS-LDA
cc-pvdz,0.9000000000000001,1,3,,-153.1479644070497,KS-LDA
cc-pvdz,1.0,1,1,,-153.18496922563799,KS-LDA
cc-pvdz,1.0,1,3,,-153.14272172449472,KS-LDA
